2025 - Tender Sebutharga Summary,,,,,,,Awarded to Gaia,PO from dealer,Cancelled,,,,,
No ,Starting Date,Due Date,Institutions/University,Reference No,Bidding Title,SalesPerson,Product Brand,Product Model,Amount Value,Submitted Date,Submission Method,Success,Winning Company,Remark
69,"10 March, 2025","13 March, 2025",UKM,NETSDP202505520,"MEMBEKAL, MENGHANTAR, MEMASANG DAN MENGUJI ALAT PENYELIDIKAN DI MAKMAL PUSAT BIOTEKNOLOGI TUMBUHAN PBT INBIOSIS: DOUBLE DOORS CHILLER (RP5)",Suzanna,Mether,Refrigerator,"RM18,000.00","12 March, 2025",Online Bidding,No,,
70,"12 March, 2025","13 March, 2025",USM,USMPT/INDUK/25/05470,PENYELENGGARAAN ,Zul,Nuaire,NU 4750E,RM950.00,"13 March, 2025",Online Bidding,Yes,,
71,"12 March, 2025","14 March, 2025",USM,USMPT/INDUK/25/05416,PEMBAIKAN ALATAN MAKMAL ( NORITA ),Thaqib,CEM,MARS 6,"RM2,150.00","14 March, 2025",Online Bidding,Yes,,
72,"11 March, 2025","14 March, 2025",UKM,NETSDP202505717,"MEMBEKAL , MENGHANTAR, MEMASANG, MENGUJI SEHINGGA BERFUNGI SERTA MENTAULIAH (7 UNIT PH METER) KE FAKULTI FARMASI UKM KAMPUS KL
",Megan,Mettler Toledo,FP20,"RM41,650.00","14 March, 2025",Online Bidding,No,BIO3 SCIENTIFIC SDN. BHD.,
73,"14 March, 2025","17 March, 2025",UM,S/J153/2025/01/1626,"LEAK TEST FOR MIKROUNA THERMAL EVAPORATOR GLOVEBOX (UM.0000204/KWJ.AK - TABUNG LDMRC)""",Tung,Mikrouna,Thermal evaporator glovebox,"RM2,500.00","14 March, 2025",Online Bidding,,,
74,"19 March, 2025","24 March, 2025",UM,K/K08/2025/02/1857,MO001 SUPPLIES CLINICAL CONSUMABLES5,Hock Seng,Junnuo,"K2EDTA Blood Collection Tubes, Lavender","RM2,968.00","19 March, 2025",Online Bidding,Yes,,
75,"14 March, 2025","25 March, 2025",UiTM,UiTM/B2/PER/PT/B/0325/0091,"Projek Kumpulan Wang Penyelidikan (RD) - Cadangan Membekal dan Menghantar Kit dan Bahan Pakai Habis ke Makmal Farmakologi-Toksikologi, Fakulti Farmasi [Geran Penyelidikan/No. Fail Projek : 600-RMC/FRGS 5/3 (113/2022)] - HN11726BA - DrHanishSingh
",ET Lim,ELK Biotech,Elisa Kits,"RM12,665.00","19 March, 2025",Online Bidding,,,
76,"14 March, 2025","20 March, 2025",UTAR,FSc/DAHS/2025/C00,Medical Histology Slide,Choi,Happy Science,Prepared Slide,"RM2,165.00","20 March, 2025",Email,Yes,,"PO received RM 6,495.00"
77,"14 March, 2025","20 March, 2025",UPM,T22/2025/7515402/UPMS,"TENDER MEMBEKAL, MENGHANTAR, MENGUJILARI DAN MENTAULIAH PERALATAN MAKMAL *5* DI FAKULTI BIOTEKNOLOGI DAN SAINS BIOMOLEKUL, UNIVERSITI PUTRA MALAYSIA, SERDANG, SELANGOR",Choi,Multiple items,,"RM393,460.00","20 March, 2025",Online Bidding,,,
78,"17 March, 2025","20 March, 2025",UKM,NETSDP202506186,"MEMBEKAL, MENGHANTAR DAN MEMASANG SEUNIT ORBITAL SHAKER KE MAKMAL PENGILANGAN & FORMULASI, FAKULTI FARMASI, UKM KKL. KOD PROJEK : PP 168",Suzanna,Wiggens,WS-50D,"RM5,000.00","20 March, 2025",Online Bidding,No,"LT RESOURCES (M) SDN. BHD.
",
79,"17 March, 2025","21 March, 2025",UKM,NETSDP202506203,"MEMBEKAL, MENGHANTAR, MEMASANG, MENGUJI DAN MENTAULIAH GUNA ALAT PROBE SONICATOR DI MAKMAL RAWATAN HAIWAN, FAKULTI FARMASI, UKM KKL. ( KOD PERUNTUKAN: PKP168)",Suzanna,Qsonica,Q125,"RM25,950.00","20 March, 2025",Online Bidding,No,STRAITS SCIENTIFIC (M) SDN BHD,
